Product Name,Price,Discount,Rating,Number of Reviews,Cluster_Label
Soroo Future Long Bar Dualspeaker Multimedia Radio Blu...,813,88,3.9,2128,0
"Krisons Beatz With Fm,Usb,Aux And Bluettot With Free Wi...",1619,67,3.6,1796,0
Etmax Nano 30 W Bluetooth Home Theatre,965,56,3.9,7048,0
Zebronics Zebsunshine 60 W Bluetooth Home Theatre,2299,34,3.7,9082,1
World Voice Red Nano Xl 160 W Bluetooth Home Audio Spea...,972,48,3.6,955,0
Classic Gold Mini Bahubali Ts1008 10 W Bluetooth Tower...,1215,65,3.6,1362,0
Toplus Tp810Dt Stereo 35 W Bluetooth Home Theatre,1101,54,3.6,898,0
Vox V7171 Real 7.1 With 90 W Bluetooth Home Theatre,2347,53,3.6,9424,0
Vemax Verve 5.0 Wireless Bluetooth Double Woofer 90W To...,3549,31,3.5,2173,1
Zebronics Zeb County 8 (Zebpspk 50) 8 W Bluetooth Home...,699,36,4.1,196,1
Me&U Partymatepro Mu100 With 40Watt Fm Aux Usb Bluetoot...,1382,72,3.9,258,0
Onbiz Wireless Bluetooth Speaker With Inbuilt Phone Sta...,283,81,3.7,14,0
Limbro Home Theatre 50 W Bluetooth Home Theatre,1373,77,3.5,24,0
Etmax Nano Shark Black 35 W Bluetooth Home Audio Speake...,976,53,3.9,66,0
Blaupunkt Ts120 Bass 140 W Bluetooth Tower Speaker,8928,55,3.9,64,1
Sony Sad40 80 W Bluetooth Home Theatre,8999,24,4.4,45390,2
Onbiz Wireless Bluetooth Speaker With Inbuilt Phone Sta...,292,85,4.3,15,0
Uic Twr5110 70W 80 W Bluetooth Tower Speaker,2119,69,3.7,75,0
Classic Gold Nothing But The Best For The Finest Cinema...,978,48,3.2,109,0
Me&U Bahubali Partybox With Fm Usb Aux Bluetooth Karaok...,1345,73,3.9,127,0
Delphine Ubon Maharaja Sp46 Wireless 10W Bluetooth Spe...,709,71,4.2,122,0
"Shruthi Chanting Box Sloka,Divine Voice, Pooja Chanting...",853,43,3.9,225,1
Dotsun Xxuv 10Inch Woofer With Rgb Light 3000 W Bluetoo...,8174,63,4.7,3,0
Limbro Speaker With Mic 50 W Bluetooth Home Theatre,1365,77,3.8,8,0
"Fine Gama Multimedia Tower Party Speaker With Usb, Fm, ...",1759,56,3.8,68,0
Vemax Venue 3.0 Wireless Bluetooth 70W Tower Speaker Wi...,2455,52,3.6,1041,0
Intex Itxm Bang Sufb 78 W Bluetooth Home Theatre,2797,65,4.0,32219,2
"World Voice Series 4141 Black Led With 4"" Woofer & Echo...",1182,50,3.6,15,0
I Kall Ik55 70 W Bluetooth Home Theatre,1994,33,3.9,52,1
Bencley Hdt04 Xtrim 125 W Bluetooth Tower Speaker,4404,26,4.0,66,1
Uic 6101 Pro 80 W Bluetooth Tower Speaker,3213,67,3.9,72,0
"Krisons Thunder, Tower Speaker System | Bluetooth Suppo...",2402,39,3.9,623,1
Shivana Mini Boost 4 | Mini Speaker | Wireless Bluetoot...,299,85,4.1,30,0
Bencley Hdt03 110 W Bluetooth Tower Speaker,4688,33,3.8,196,1
Maplin Vintage Retro Amo1 40 W Bluetooth Home Audio Spe...,3844,61,3.6,24,0
Quaranel 8H8H/K Tower Multimedia System Remote Control...,2763,78,3.7,47,0
Altec Lansing Al5004 With Karaoke 80 W Bluetooth Party...,9499,37,4.0,26,1
Zebronics Zebbt2750 Ruf 60 W Bluetooth Home Theatre,2359,39,3.6,377,1
Shemaroo Amrit Bani (Light Wood) 5 W Bluetooth Home The...,2799,49,4.6,60,1
Tronica 222 Republic Series 30 W Bluetooth Home Theatre,1967,34,3.8,105,1
Clairbell Nad56Gn8_Super Bass Bluetooth Wireless Porta...,442,64,3.3,38,0
Good Fun Mega Bass Wireless 2In1 Speaker And Mic | Wate...,646,90,3.8,10,0
Ultiads Premium Bass Multimedia Speaker 100 W Bluetooth...,2845,76,3.8,168,0
Blaupunkt Travelon Boom 50 W Portable Bluetooth Party S...,13999,10,3.7,45,1
Bencley Blkthunderbird Double Tower 150 W Bluetooth Hom...,6120,35,4.0,266,1
Shivana Mini Boost 4 | Mini Speaker | Wireless Bluetoot...,290,85,3.6,15,0
Tp Troops Kids & Adult With Disco Ball & Wired Micropho...,640,57,3.8,38,0
Neuton Wow King With Wired Mic And Remote 40 W Bluetoot...,1396,80,3.7,11,0
G2L New Led Bulb Bluetooth Speaker With Rgb Light And R...,297,70,3.7,10,0
Etmax Bobby Et511 Bt 90 W Bluetooth Tower Speaker,2178,73,4.2,13,0
Yaroh Ikka Crystalclear Highfidelity (Bluetooth Speake...,430,56,3.8,6,0
Tronica Cowin 7.1 60 W Bluetooth Home Theatre,2765,30,3.5,361,1
"I Kall Ik005 Bluetooth Tower Speaker System Usb, Aux, L...",3424,42,3.6,68,1
Me&U Musical Powerhouse Tws Mode Rgb With Bluetooth Kar...,1373,72,4.6,5,0
Uic Twr5101 Pr 120 W Bluetooth Tower Speaker,4101,62,3.7,9,0
"Shruthi Mantra Chanting Sloka/Divine Voice, Pooja Chant...",664,24,3.9,178,1
Techkiyo Mini Boost4 Wireless Small Bluetooth Speaker A...,339,57,3.7,103,0
Dotsun My Sound 220 W Bluetooth Home Theatre,3787,41,3.8,23,1
Bencley Dewo 120 W Bluetooth Tower Speaker,5165,39,4.0,408,1
Good Fun New Portable Bluetooth Speaker Box Mini Home T...,642,89,3.8,8,0
"Boult Partybox X80 Dynamic Rgb Light, 80W, Karaoke Mic,...",6999,65,3.9,314,0
Bfsteckt Lamborghini Wireless Bluetooth Car Speaker Co...,883,41,3.8,9,1
Tronica Ps07 Premium Series 7.1 Supports Pendrive Fm Au...,2748,31,3.6,111,1
Delphine Sp 65 20 W Bluetooth Home Audio Speaker,1166,53,4.0,62,0
Prahar Galaxy Wireless Ultra Mini Boost Series 4 Portab...,399,90,3.8,118,0
Rzg Led Multimedia Karaoke Bluetooth Music System Home ...,2978,77,4.0,61,0
Treadmill Kt125 (Portable Bluetooth Speaker) Dynamic T...,410,59,4.1,36,0
Tronesla King 55 W Bluetooth Home Theatre,2066,58,4.0,64,0
Liluns G97 Powerpact Bass & Stereo Audio 100 W Bluetoo...,2824,71,3.4,9,0
"Bencley Hdt04 Pro With Usb, Sd Card And Fm Radio 115 W...",4332,38,3.7,3,1
Liluns Pojh 100 W Bluetooth Tower Speaker,2797,78,3.7,590,0
Rzw 4180 Bass Splashproof Wireless With Usb | Mic | Aux...,651,83,3.8,131,0
"Erhindia 2 Pcs 4"" Mini Woofers 35 W Bluetooth Home Audi...",367,37,3.7,23,1
Saregama Carvaan Bengali 6 W Bluetooth Home Theatre,7490,2,4.5,946,1
Tronica Republic Series 2.1 Bluetooth 30 W Bluetooth Ho...,1814,39,4.1,39,1
Yoment Dj Bluetooth Music System Home Theater 100 W Blu...,2984,62,3.7,108,0
Rzw 4180 Mini Home Theater|Dj Bass|Splashproof|Water R...,640,83,3.8,131,0
"Rzg R1G8 Wireless Bluetooth Speaker With Led ,Usb & Fm...",1845,81,4.4,7,0
Bagatelle Best Offer Dual Horn Dj Sound Power Boost 9 W...,458,69,4.2,41,0
Intex 4.1 Roar 4701 (301 Pro) 70 W Bluetooth Home Theat...,3213,50,3.4,97,0
Onix Oht 505Z 50 W Bluetooth Home Theatre,3162,49,3.8,242,1
"Bs Power Mantra Chanting Sloka/Divine Voice, Pooja Chan...",602,39,3.7,318,1
"Invicto Mini Bluetooth Wireless Speaker With Google, Al...",405,88,4.2,45778,2
Zync Karaoke With Wireless Mic 32 W Bluetooth Home Audi...,3398,51,4.2,15,1
Rutashy Rty1230 70 W Bluetooth Tower Speaker,2882,39,4.0,509,1
Jvc Rvy80C 60 W Bluetooth Home Theatre,8499,50,3.9,48,1
World Voice Bluetooth Grey Led Subwoofer Speaker/Echo ...,990,50,3.4,74,0
Bencley Spice Elite 4V09 35 W Bluetooth Home Theatre,1186,45,4.0,4,1
"Shruthi Chanting Box Sloka,Divine Voice, Pooja Chanting...",998,50,3.7,129,0
"Fine Alpha Multimedia Tower Party Speaker With Usb, Fm,...",1859,49,3.4,26,0
Kenvex Kv2025 30 W Bluetooth Home Theatre,936,56,5.0,3,0
Rzg R20G Hifi Bluetooth Tower Speaker Home Theater 90...,1838,77,3.9,32,0
Yaroh M412 (Speakers) 48 W Bluetooth Home Theatre,295,70,3.5,4,0
Zsiv Dj Havy Sound Home Soundbar Bar Studio Bluetooth S...,883,70,3.7,109,0
Guggu Dj Box Wireless Small With Big Sound Metal Shineb...,408,59,3.5,23,0
Shivana Speaker | Wireless Bluetooth Speaker | Pocket S...,281,85,3.7,3,0
Sony Sasw3 200 W Home Audio Speaker,25990,13,4.7,22,1
Etmax Opera 507 Bt 80 W Bluetooth Tower Speaker,1963,60,3.9,132,0
Krisons Ultima Bluetooth Speaker With Wireless Mic Home...,2380,52,3.6,352,0
Sony Mhcv73D Party Speaker With Bluetooth Connectivity...,52460,12,4.4,76,1
Tx Flo 19H Playtime Soundbar With Customizable Sound S...,982,75,3.4,21,0
Zsiv Sp15 High Bass Soundbar Mini Wireless Speaker For ...,839,72,3.6,22,0
Limbro Bluetooth Speaker With Mic 50 W Bluetooth Tower ...,1248,75,3.7,153,0
Yaroh (Speakers) Luxury Portable ( 48 W Bluetooth Home ...,276,72,3.7,3,0
Techlobby Tl5 Inch R 80 W Studio Monitor,1535,48,3.6,85,0
"Zwollex 52Mm Drivers, Easy To Carry, Bt For Tv, Mobile,...",678,77,3.9,90,0
Clairbell Dj Box Wireless Small With Big Sound Metal Sh...,392,60,4.0,274,0
"Zwollex Bluetooth Soundbar 2200 Mah Battery Aux, Blueto...",678,77,4.1,20,0
Musify Mini Home Theatre System 360°Surround Sound Wire...,649,56,3.7,25,0
"Clairbell Dj Box Portable Thunder Sound, 1200Mah Batter...",376,62,3.3,13,0
Prass Wooden 4.1 Blk 65 W Bluetooth Home Theatre,2408,19,3.9,10,1
Edifier R2000Db 120 W Bluetooth Home Theatre,24358,6,4.7,17,1
Bfsteckt Lamborghini Wireless Bluetooth Car Speaker Co...,867,42,3.8,9,1
Rectitude Ws04 Amazing High Bass Speaker Subwoofer Sou...,804,38,5.0,4,1
Intex Twxh 13503 Fmub (Dual) 150 W Bluetooth Tower Spe...,13999,47,3.9,203,1
Tseries M4444Bt 4.1 Channel Bluetooth Multimedia Spea...,4761,13,4.1,91,1
"Clairbell Dj Box 10W With Fm Radio,Mic, Usb Pen Drive &...",461,53,3.6,25,0
Toplus A51160D5 65 W Bluetooth Home Theatre,2103,78,3.4,20,0
Rzg Rr4E High Bass Dj Music System Home Theater 120 W ...,2847,78,3.3,19,0
Dotsun Dotsun Blaster 3600 W Bluetooth Tower Speaker,4191,30,4.1,83,1
